transaction_id,account_id,transaction_date,value_date,amount,currency,direction,description,counterparty
1b1d044d-3a47-42b6-9ad5-b9f66108ca44,03997fdd-d1be-4b30-916c-58eb18ed44e2,2025-12-30,2025-12-30,2500.00,USD,IN,Salary December,Acme Corp
eef9cbab-f0d0-4654-99a5-b8c8a9f8edf9,03997fdd-d1be-4b30-916c-58eb18ed44e2,2026-01-02,2026-01-02,85.32,USD,OUT,Groceries Whole Foods,Whole Foods
0c4079e1-1b23-4101-974c-a595e57d88eb,03997fdd-d1be-4b30-916c-58eb18ed44e2,2026-01-05,2026-01-05,15.75,USD,OUT,Coffee shop,Blue Bottle
12d7eebf-b0b6-4a05-9009-70d4375a8dcd,03997fdd-d1be-4b30-916c-58eb18ed44e2,2026-01-10,2026-01-10,1200.00,USD,OUT,Rent January,Sunrise Apartments
21e826a7-4880-422f-8eed-f2f1e7d8eb51,03997fdd-d1be-4b30-916c-58eb18ed44e2,2026-01-12,2026-01-12,64.10,USD,OUT,Rideshare Uber trip,Uber
4adf27a9-391b-42f5-aedb-e831ac85db76,03997fdd-d1be-4b30-916c-58eb18ed44e2,2026-01-18,2026-01-18,180.00,USD,OUT,Utilities Electric,City Power
f942e99b-82e5-4295-b790-372d81372f70,03997fdd-d1be-4b30-916c-58eb18ed44e2,2026-01-25,2026-01-25,200.00,USD,IN,Freelance payment,SideGig LLC
5d4caa50-1a25-494f-9431-aae0609f90fc,03997fdd-d1be-4b30-916c-58eb18ed44e2,2026-02-01,2026-02-01,95.60,USD,OUT,Groceries Trader Joes,Trader Joes
a5256cd0-a005-4564-a4c3-084b489995e4,03997fdd-d1be-4b30-916c-58eb18ed44e2,2026-02-02,2026-02-02,12.99,USD,OUT,Netflix monthly subscription,Netflix
6aca3c64-646a-42da-ab5d-68a75e3c0924,03997fdd-d1be-4b30-916c-58eb18ed44e2,2026-02-03,2026-02-03,45.00,USD,OUT,Pharmacy CVS purchase,CVS Pharmacy
83990043-80dd-4dd5-a9b7-0cd6bf50158c,03997fdd-d1be-4b30-916c-58eb18ed44e2,2026-02-03,2026-02-03,35.00,USD,OUT,Gym membership fee,Local Gym
0930b987-0c88-4fdb-96cf-b02e31616fac,03997fdd-d1be-4b30-916c-58eb18ed44e2,2026-02-04,2026-02-04,38.50,USD,OUT,Restaurant dinner,Olive Garden
97da0a97-7c4b-48d9-b95b-719246b97fe6,03997fdd-d1be-4b30-916c-58eb18ed44e2,2026-01-18,2026-01-18,180.00,USD,OUT,Utilities Electrics,City Power
